"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","POSIZPROF","Posizione professionale","REGIME_ORARIO","Tempo pieno/parziale","CARATT_OCC","Carattere occupazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020","2020",2032.344,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020-Q2","T2-2020",2004.473,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020-Q1","T1-2020",2087.934,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020-Q3","T3-2020",1993.42,,
"IT","Italia","2","femmine","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020-Q4","T4-2020",2043.551,,
"IT","Italia","9","totale","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019","2019",2603.903,,
"IT","Italia","9","totale","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019-Q1","T1-2019",2586.754,,
"IT","Italia","9","totale","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019-Q2","T2-2019",2649.368,,
"IT","Italia","9","totale","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019-Q4","T4-2019",2621.388,,
"IT","Italia","9","totale","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2019-Q3","T3-2019",2558.102,,
"IT","Italia","9","totale","Y35-64","35-64 anni","1","dipendenti","2","tempo parziale","9","totale","2020","2020",2525.926,,
