"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","POSIZPROF","Posizione professionale","REGIME_ORARIO","Tempo pieno/parziale","CARATT_OCC","Carattere occupazione","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITD","Nord-est","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","9","totale","2019-Q4","T4-2019",2122.824,,
"ITD","Nord-est","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","9","totale","2019-Q3","T3-2019",2168.208,,
"ITD","Nord-est","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","9","totale","2020","2020",2133.23,,
"ITD","Nord-est","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","9","totale","2020-Q2","T2-2020",2120.767,,
"ITD","Nord-est","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","9","totale","2020-Q1","T1-2020",2134.202,,
"ITD","Nord-est","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","9","totale","2020-Q3","T3-2020",2166.603,,
"ITD","Nord-est","1","maschi","Y_GE15","15 anni e più","1","dipendenti","9","totale","9","totale","2020-Q4","T4-2020",2111.347,,
"ITC","Nord-ovest","9","totale","Y35-64","35-64 anni","1","dipendenti","9","totale","9","totale","2019","2019",4073.586,,
"ITC","Nord-ovest","9","totale","Y35-64","35-64 anni","1","dipendenti","9","totale","9","totale","2019-Q1","T1-2019",4085.03,,
"ITC","Nord-ovest","9","totale","Y35-64","35-64 anni","1","dipendenti","9","totale","9","totale","2019-Q2","T2-2019",4060.987,,
"ITC","Nord-ovest","9","totale","Y35-64","35-64 anni","1","dipendenti","9","totale","9","totale","2019-Q4","T4-2019",4121.907,,
"ITC","Nord-ovest","9","totale","Y35-64","35-64 anni","1","dipendenti","9","totale","9","totale","2019-Q3","T3-2019",4026.422,,
"ITC","Nord-ovest","9","totale","Y35-64","35-64 anni","1","dipendenti","9","totale","9","totale","2020","2020",4029.29,,
"ITC","Nord-ovest","9","totale","Y35-64","35-64 anni","1","dipendenti","9","totale","9","totale","2020-Q2","T2-2020",3993.541,,
"ITC","Nord-ovest","9","totale","Y35-64","35-64 anni","1","dipendenti","9","totale","9","totale","2020-Q1","T1-2020",4112.875,,
"ITC","Nord-ovest","9","totale","Y35-64","35-64 anni","1","dipendenti","9","totale","9","totale","2020-Q3","T3-2020",3960.079,,
"ITC","Nord-ovest","9","totale","Y35-64","35-64 anni","1","dipendenti","9","totale","9","totale","2020-Q4","T4-2020",4050.666,,
"ITFG","Mezzogiorno","9","totale","Y35-44","35-44 anni","1","dipendenti","9","totale","9","totale","2019","2019",1152.99,,
"ITFG","Mezzogiorno","9","totale","Y35-44","35-44 anni","1","dipendenti","9","totale","9","totale","2019-Q1","T1-2019",1131.163,,
