"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITG1","Sicilia","1","maschi","Y_GE65","65 anni e più","2020","2020",24.006,,
"ITC1","Piemonte","1","maschi","Y15-64","15-64 anni","2019","2019",977.641,,
"ITC1","Piemonte","1","maschi","Y15-64","15-64 anni","2020","2020",953.615,,
"ITD1","Provincia Autonoma Bolzano / Bozen","9","totale","Y15-64","15-64 anni","2019","2019",252.055,,
"ITD1","Provincia Autonoma Bolzano / Bozen","9","totale","Y15-64","15-64 anni","2020","2020",245.984,,
"ITF2","Molise","1","maschi","Y15-64","15-64 anni","2019","2019",63.986,,
"ITF2","Molise","1","maschi","Y15-64","15-64 anni","2020","2020",61.269,,
"ITF3","Campania","1","maschi","Y15-64","15-64 anni","2019","2019",1025.229,,
"ITF3","Campania","1","maschi","Y15-64","15-64 anni","2020","2020",1009.813,,
"ITG2","Sardegna","1","maschi","Y15-64","15-64 anni","2019","2019",321.814,,
"ITG2","Sardegna","1","maschi","Y15-64","15-64 anni","2020","2020",311.815,,
"IT","Italia","2","femmine","Y_GE15","15 anni e più","2019","2019",9872.247,,
