"ITTER107","Territorio","SEXISTAT1","Sesso","ETA1","Classe di età","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITF2","Molise","9","totale","Y15-64","15-64 anni","2020","2020",101.807,,
"ITD5","Emilia-Romagna","2","femmine","Y_GE15","15 anni e più","2019","2019",918.338,,
"ITD5","Emilia-Romagna","2","femmine","Y_GE15","15 anni e più","2019-Q1","T1-2019",910.247,,
"ITD5","Emilia-Romagna","2","femmine","Y_GE15","15 anni e più","2019-Q2","T2-2019",928.319,,
"ITD5","Emilia-Romagna","2","femmine","Y_GE15","15 anni e più","2019-Q4","T4-2019",924.424,,
"ITD5","Emilia-Romagna","2","femmine","Y_GE15","15 anni e più","2019-Q3","T3-2019",910.36,,
"ITD5","Emilia-Romagna","2","femmine","Y_GE15","15 anni e più","2020","2020",888.994,,
"ITD5","Emilia-Romagna","2","femmine","Y_GE15","15 anni e più","2020-Q2","T2-2020",875.92,,
"ITD5","Emilia-Romagna","2","femmine","Y_GE15","15 anni e più","2020-Q1","T1-2020",903.051,,
"ITD5","Emilia-Romagna","2","femmine","Y_GE15","15 anni e più","2020-Q3","T3-2020",885.069,,
"ITD5","Emilia-Romagna","2","femmine","Y_GE15","15 anni e più","2020-Q4","T4-2020",891.935,,
"ITE4","Lazio","1","maschi","Y_GE15","15 anni e più","2019","2019",1332.778,,
"ITE4","Lazio","1","maschi","Y_GE15","15 anni e più","2019-Q1","T1-2019",1306.788,,
"ITE4","Lazio","1","maschi","Y_GE15","15 anni e più","2019-Q2","T2-2019",1340.098,,
"ITE4","Lazio","1","maschi","Y_GE15","15 anni e più","2019-Q4","T4-2019",1335.904,,
"ITE4","Lazio","1","maschi","Y_GE15","15 anni e più","2019-Q3","T3-2019",1348.322,,
"ITE4","Lazio","1","maschi","Y_GE15","15 anni e più","2020","2020",1318.455,,
"ITE4","Lazio","1","maschi","Y_GE15","15 anni e più","2020-Q2","T2-2020",1313.828,,
"ITE4","Lazio","1","maschi","Y_GE15","15 anni e più","2020-Q1","T1-2020",1333.675,,
"ITE4","Lazio","1","maschi","Y_GE15","15 anni e più","2020-Q3","T3-2020",1293.676,,
"ITE4","Lazio","1","maschi","Y_GE15","15 anni e più","2020-Q4","T4-2020",1332.64,,
"ITF4","Puglia","2","femmine","Y_GE15","15 anni e più","2019","2019",438.843,,
"ITF4","Puglia","2","femmine","Y_GE15","15 anni e più","2019-Q1","T1-2019",428.357,,
"ITF4","Puglia","2","femmine","Y_GE15","15 anni e più","2019-Q2","T2-2019",455.53,,
"ITF4","Puglia","2","femmine","Y_GE15","15 anni e più","2019-Q4","T4-2019",429.835,,
"ITF4","Puglia","2","femmine","Y_GE15","15 anni e più","2019-Q3","T3-2019",441.65,,
"ITF4","Puglia","2","femmine","Y_GE15","15 anni e più","2020","2020",435.152,,
"ITF4","Puglia","2","femmine","Y_GE15","15 anni e più","2020-Q2","T2-2020",433.4,,
"ITF4","Puglia","2","femmine","Y_GE15","15 anni e più","2020-Q1","T1-2020",442.856,,
"ITF4","Puglia","2","femmine","Y_GE15","15 anni e più","2020-Q3","T3-2020",434.731,,
"ITF4","Puglia","2","femmine","Y_GE15","15 anni e più","2020-Q4","T4-2020",429.62,,
"ITF5","Basilicata","2","femmine","Y_GE15","15 anni e più","2019","2019",69.955,,
"ITF5","Basilicata","2","femmine","Y_GE15","15 anni e più","2019-Q1","T1-2019",67.76,,
"ITF5","Basilicata","2","femmine","Y_GE15","15 anni e più","2019-Q2","T2-2019",71.706,,
"ITF5","Basilicata","2","femmine","Y_GE15","15 anni e più","2019-Q4","T4-2019",70.824,,
"ITF5","Basilicata","2","femmine","Y_GE15","15 anni e più","2019-Q3","T3-2019",69.531,,
"ITF5","Basilicata","2","femmine","Y_GE15","15 anni e più","2020","2020",69.154,,
"ITF5","Basilicata","2","femmine","Y_GE15","15 anni e più","2020-Q2","T2-2020",69.28,,
"ITF5","Basilicata","2","femmine","Y_GE15","15 anni e più","2020-Q1","T1-2020",66.971,,
"ITF5","Basilicata","2","femmine","Y_GE15","15 anni e più","2020-Q3","T3-2020",67.749,,
"ITF5","Basilicata","2","femmine","Y_GE15","15 anni e più","2020-Q4","T4-2020",72.616,,
"ITC4","Lombardia","2","femmine","Y25-34","25-34 anni","2019","2019",364.646,,
"ITC4","Lombardia","2","femmine","Y25-34","25-34 anni","2020","2020",356.193,,
"ITE4","Lazio","2","femmine","Y25-34","25-34 anni","2019","2019",180.566,,
"ITE4","Lazio","2","femmine","Y25-34","25-34 anni","2020","2020",163.113,,
"ITFG","Mezzogiorno","2","femmine","Y25-34","25-34 anni","2019","2019",412.588,,
"ITFG","Mezzogiorno","2","femmine","Y25-34","25-34 anni","2019-Q1","T1-2019",405.434,,
"ITFG","Mezzogiorno","2","femmine","Y25-34","25-34 anni","2019-Q2","T2-2019",420.406,,
"ITFG","Mezzogiorno","2","femmine","Y25-34","25-34 anni","2019-Q4","T4-2019",415.406,,
"ITFG","Mezzogiorno","2","femmine","Y25-34","25-34 anni","2019-Q3","T3-2019",409.104,,
"ITFG","Mezzogiorno","2","femmine","Y25-34","25-34 anni","2020","2020",386.117,,
"ITFG","Mezzogiorno","2","femmine","Y25-34","25-34 anni","2020-Q2","T2-2020",357.004,,
